id,title,body,department,sentiment,target,strategy
46685257-bdd6-40fb-8667-1ad11c80317f,Info intanto,Esperienza pericolosa.,F&B,negative,0,simple
ad3c2d6d-1a3d-4fa7-bc89-60a923b8c1e9,Feedback valore,"La stanza era anche rilassante, ma il personale intrattabile mi ha rovinato l'umore.",Reception,negative,0,mixed
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Feedback appartenere,Siamo arrivati di venerdì verso le 18. Purtroppo la stanza era angosciante. Voto finale: bo.,Housekeeping,negative,0,detailed
b38a088c-a65e-4389-b74d-0fb132e70629,Feedback valore,"La stanza era anche di design, ma il personale nervoso mi ha rovinato l'umore.",Reception,negative,0,mixed
47378190-96da-4dac-b2ff-5d2a386ecbe0,Recensione acqua,"Il cibo era un po' caro, ma lo staff affabile ha salvato la vacanza.",Reception,positive,1,mixed
c37459ee-f50b-4a63-b71e-cd7b27cd8130,Recensione ordine,"Dopo un viaggio lunghissimo da Canneto Di Caronia, Maria allo sportello si è dimostrato ostile. Comunque torneremo a Buonopane.",Reception,negative,0,detailed
89463e85-759c-4e66-bacf-b3d00b1f9163,Feedback cucina,Tutto domotica. Giorno fresco fissare diverso.,Reception,positive,1,simple
11ce5dd2-b45e-41f0-b139-d32c93cd59bf,Feedback avanzare,Tutto signorile. Nemico serio passato sorridere.,F&B,positive,1,simple
47294739-614f-43d7-99db-3ad0ddd1dfb2,Info scegliere,Ho prenotato all'ultimo minuto. Purtroppo la stanza era orrenda. Voto finale: bo.,Housekeeping,negative,0,detailed
5ec42e08-29a3-42e9-9d65-a441d58842de,Soggiorno pensare,Esperienza fatiscente.,F&B,negative,0,simple
efc89849-b3aa-4efe-8458-a885ab9099a4,Opinione carattere,"La stanza era anche eccellente, ma il personale saccente mi ha rovinato l'umore.",Reception,negative,0,mixed
baa80dd4-88bd-4407-abcf-be01a28defe3,Soggiorno intanto,"Il cibo era un po' vergognoso, ma lo staff ospitale ha salvato la vacanza.",Reception,positive,1,mixed
fd5166e6-451b-4cf3-a123-fdf77656af72,Info vista,"La stanza era anche celestiale, ma il personale insensibile mi ha rovinato l'umore.",Reception,negative,0,mixed
448aaa9e-66b2-4c5b-90c1-87fcce177b4e,Info camera,Non sapevo cosa aspettarmi. Giancarlo alla reception è stato infaticabile. Comunque torneremo a Sommocolonia.,Reception,positive,1,detailed
e059a0ee-9132-463e-b162-87e4e9c349e0,Recensione nessuno,Non aspettatevi un servizio caloroso da Giacomo. Pessimo.,Reception,negative,0,negation
e27a984d-6548-41d0-bfcd-9eb1a7cad415,Opinione scrivere,Non aspettatevi un servizio saggio da Giacomo. Pessimo.,Reception,negative,0,negation
e5d7b875-6dad-46c7-95a7-6d79bf3c4c06,Soggiorno pronto,"Dopo un viaggio lunghissimo da Marina Di Fiumefreddo Bruzio, La camera era confortevole. Voto finale: bo.",Housekeeping,positive,1,detailed
dc713d96-0c0f-4195-817a-f08a1745d6d8,Recensione contatto,"Dopo un viaggio lunghissimo da San Quirico Trecasali, Milo alla reception è stato impeccabile. Comunque torneremo a Corniglio.",Reception,positive,1,detailed
ae340454-cac5-468c-a8f4-9481a0a04dc4,Opinione regione,"La stanza era anche essenziale, ma il personale cafone mi ha rovinato l'umore.",Reception,negative,0,mixed
8da0365b-f898-47b9-805c-acec877409a9,Recensione aiutare,Ero qui per lavoro con il mio collega Cassandra. Cassandra allo sportello si è dimostrato sgarbato. Voto finale: bo.,Reception,negative,0,detailed
e2817efd-ae84-4217-9d53-434bb88139b9,Recensione ufficiale,Non aspettatevi un servizio onesto da Giulia. Pessimo.,Reception,negative,0,negation
00d4af59-7427-4ca3-a87d-06ca6f4cc69a,Info liberare,Siamo arrivati di mercoledì verso le 21. La camera era paradisiaca. Voto finale: bo.,Housekeeping,positive,1,detailed
e9a1fa6f-81f7-4d1c-adbc-2134c30ff46e,Feedback conseguenza,Non aspettatevi un servizio formato da Temistocle. Pessimo.,Reception,negative,0,negation
a39231a7-d777-4477-8c66-e0a8a013ac6e,Feedback studiare,"La stanza era anche rigenerante, ma il personale indifferente mi ha rovinato l'umore.",Reception,negative,0,mixed
c333e861-5fb8-416c-a720-797d32ebd689,Recensione ecco,Non aspettatevi un servizio sorridente da Concetta. Pessimo.,Reception,negative,0,negation
87c5421e-ec24-43c5-8754-108ff4188f3f,Info abbandonare,"Avevo letto recensioni brutte, ma la camera non era affatto rumorosa. Anzi!",Housekeeping,positive,1,negation
1ca35cfb-04fc-4d82-bd15-438552fbe43b,Recensione pesare,Esperienza bollente.,F&B,negative,0,simple
4eb93eff-ce88-4b2d-94e8-0839fc3e058b,Info infatti,"La stanza era anche vasta, ma il personale scontroso mi ha rovinato l'umore.",Reception,negative,0,mixed
c2b6d2c5-fa5d-4100-91b7-e948d0e6e660,Soggiorno triste,"Dopo un viaggio lunghissimo da Padulle, La camera era da sogno. Ho pagato 129 euro.",Housekeeping,positive,1,detailed
9b49bd26-df57-459a-8715-a10343dac043,Feedback relazione,"Dopo un viaggio lunghissimo da Smerillo, La camera era cristallina. Comunque torneremo a Cavazzana.",Housekeeping,positive,1,detailed
badcc32a-c159-4f53-8a0f-4efbedcd465e,Recensione fra,"La stanza era anche ariosa, ma il personale polemico mi ha rovinato l'umore.",Reception,negative,0,mixed
abf3ad39-fec2-4bbe-a624-5bfa4fcca39a,Recensione politica,Esperienza consumata.,Housekeeping,negative,0,simple
1efa2197-7394-488f-847f-d9b4e64d1bcb,Info internazionale,Non aspettatevi un servizio qualificato da Raimondo. Pessimo.,Reception,negative,0,negation
122c9a56-01d7-4256-b860-2ab696a402f2,Opinione bocca,Ero qui per lavoro con il mio collega Bianca. Purtroppo la stanza era spoglia. Comunque torneremo a Concas.,Housekeeping,negative,0,detailed
474a493b-3ced-4f2d-839f-bc501223b513,Opinione sopra,Siamo arrivati di venerdì verso le 21. Gianmarco alla reception è stato poliglotta. Comunque torneremo a Figliaro.,Reception,positive,1,detailed
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,Info religioso,Tutto ampia. Cattivo trascinare numeroso lo rivoluzione scoprire considerare.,Housekeeping,positive,1,simple
0dde29a6-baa4-471a-9d24-67ac778eedb3,Opinione comprare,"Il cibo era un po' dozzinale, ma lo staff affabile ha salvato la vacanza.",Reception,positive,1,mixed
ccf3a171-56dc-4907-ba6c-34ab6712303a,Recensione contare,Esperienza fatiscente.,Reception,negative,0,simple
72d8567d-894a-45e4-b0b1-87ef310c0c00,Info dinanzi,Esperienza maleodorante.,Housekeeping,negative,0,simple
db20a56e-dc81-4fe7-8eda-8bbb71710434,Recensione vero,Ero qui per lavoro con il mio collega Gionata. Piersanti alla reception è stato premuroso. Ho pagato 92 euro.,Reception,positive,1,detailed
8a63f881-ffd0-49d5-a6f2-f7b80cf35b58,Opinione almeno,"Avevo letto recensioni brutte, ma la camera non era affatto instabile. Anzi!",Housekeeping,positive,1,negation
3c835dc0-d944-4fa5-80e9-ab30ed2662e9,Recensione entrare,"Il cibo era un po' terribile, ma lo staff squisito ha salvato la vacanza.",Reception,positive,1,mixed
